City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Praia,20,BR,1537650000,54,-20.25,-43.81,78.80000000000001,5.7
Prince Rupert,1,CA,1537650000,51,54.32,-130.32,59.0,3.1
Provideniya,0,RU,1537653192,97,64.42,-173.23,44.78,10.72
Puerto Ayora,20,EC,1537650000,54,-0.74,-90.35,80.6,4.6
Puerto Leguizamo,36,CO,1537653195,62,-0.19,-74.78,88.43,0.57
Punta Arenas,75,CL,1537650000,55,-53.16,-70.91,37.4,3.6
Purranque,75,CL,1537650000,81,-40.91,-73.16,51.8,3.1
Qaanaaq,0,GL,1537653198,100,77.48,-69.36,18.68,5.47
Qeshm,0,IR,1537650000,83,26.96,56.27,86.0,2.1
Quatre Cocos,75,MU,1537650000,69,-20.21,57.76,75.2,6.2
Rafaela,20,AR,1537653144,61,-31.25,-61.49,85.37,3.62
Ratnagiri,68,IN,1537653208,100,16.98,73.3,77.81,5.72
Raudeberg,90,NO,1537651200,76,61.99,5.14,50.0,10.8
Rawson,88,AR,1537652966,47,-43.3,-65.11,60.71,5.32
Ribas do Rio Pardo,20,BR,1537653210,59,-20.45,-53.76,84.38,0.97
Ribeira Brava,20,PT,1537651800,69,32.65,-17.07,73.4,7.2
Ribeira Grande,92,PT,1537653211,95,38.52,-28.7,75.2,7.82
Richards Bay,56,ZA,1537653212,100,-28.77,32.06,62.96,1.22
Rikitea,44,PF,1537653214,100,-23.12,-134.97,71.15,3.07
Rio Grande,0,BR,1537650000,74,-32.03,-52.1,78.80000000000001,4.6
Road Town,40,VG,1537653600,74,18.42,-64.62,87.08000000000001,2.6
Roald,92,NO,1537651200,81,62.58,6.12,48.2,5.7
Rongcheng,0,CN,1537653218,100,37.16,122.42,57.56,2.47
Rosignano Marittimo,0,IT,1537650900,94,43.41,10.47,71.6,0.5
Russell,0,AR,1537650000,41,-33.01,-68.8,91.4,6.7
Sagone,0,FR,1537651800,77,42.12,8.7,73.4,2.6
Saint Anthony,1,US,1537649760,3,43.97,-111.68,80.06,7.2
Saint George,0,GR,1537649400,63,39.45,22.34,64.4,0.92
Saint-Denis,90,FR,1537651800,77,48.94,2.36,66.2,5.1
Saint-Francois,90,FR,1537651800,72,46.42,3.91,62.6,1.5
Saint-Louis,0,CH,1537651800,82,47.59,7.56,62.6,1.0
Saint-Philippe,1,CA,1537650900,47,45.36,-73.48,59.0,4.1
Salalah,0,OM,1537649400,83,17.01,54.1,75.2,1.5
Saldanha,0,PT,1537653234,72,41.42,-6.55,59.81,1.22
Salvador,0,BR,1537650000,74,-12.98,-38.48,80.6,4.6
Samarinda,0,ID,1537653239,99,-0.5,117.14,72.86,1.07
San Andres,24,PH,1537653241,100,13.32,122.68,81.5,5.87
San Cristobal,75,EC,1537650000,51,-0.39,-78.55,62.6,8.2
San Luis,0,AR,1537653210,16,-33.3,-66.34,89.06,5.32
San Patricio,20,PY,1537653246,68,-26.98,-56.83,87.08000000000001,2.52
San Pedro,44,AR,1537653247,93,-33.68,-59.66,69.71000000000001,1.97
San Quintin,20,PH,1537650000,100,17.54,120.52,75.2,1.0
San Vicente,40,SV,1537649400,66,13.64,-88.78,87.80000000000001,1.0
Sangar,0,RU,1537653199,95,63.92,127.47,35.42,1.97
Santa Lucia,0,IT,1537653254,91,39.93,9.66,61.88,0.92
Santa Maria,0,BR,1537650000,46,-29.69,-53.81,89.6,2.6
Sao Borja,44,BR,1537653258,65,-28.66,-56.0,85.46000000000001,3.82
Sao Filipe,0,CV,1537653259,91,14.9,-24.5,79.97,6.47
Sao Joao da Barra,75,BR,1537650000,73,-21.64,-41.05,75.2,6.2
Saryozek,92,KZ,1537653262,86,44.36,77.98,50.99,1.17
Saskylakh,56,RU,1537653263,93,71.97,114.09,29.12,3.12
Sept-Iles,20,CA,1537650000,34,50.2,-66.38,48.2,8.7
Sesimbra,0,PT,1537651800,56,38.45,-9.1,73.4,4.6
Severo-Kurilsk,56,RU,1537653268,100,50.68,156.12,46.85,2.12
Severo-Yeniseyskiy,68,RU,1537653270,83,60.37,93.04,40.46,1.32
Shache,0,CN,1537653271,68,38.42,77.24,50.81,1.77
Shakhtinsk,0,KZ,1537650000,81,49.71,72.59,44.6,4.0
Shelburne,75,CA,1537650000,54,44.08,-80.2,59.0,5.1
Shimoda,92,JP,1537653274,100,34.7,138.93,74.75,8.02
Sidi Bin Nur,75,TN,1537651800,94,35.53,10.92,71.6,7.2
Sinnamary,0,GF,1537653277,91,5.38,-52.96,83.21000000000001,5.27
Sisimiut,0,GL,1537653278,70,66.94,-53.67,31.73,1.62
Sistranda,75,NO,1537649400,87,63.73,8.83,48.2,11.8
Sitka,0,US,1537653281,49,37.17,-99.65,74.48,2.77
Smithers,5,CA,1537650000,32,54.78,-127.17,53.6,2.1
Sobolevo,92,RU,1537653284,98,54.43,31.9,50.81,5.62
Sokur,0,RU,1537650000,58,55.21,83.32,55.400000000000006,4.0
Sola,75,FI,1537651200,81,62.78,29.36,51.8,4.1
Souillac,90,FR,1537651800,77,45.6,-0.6,66.2,2.1
South Yuba City,1,US,1537652100,22,39.12,-121.64,89.6,1.5
Srednekolymsk,92,RU,1537653289,100,67.46,153.71,33.53,1.47
Sur,0,OM,1537653292,82,22.57,59.53,85.37,1.22
Suratgarh,92,IN,1537653294,98,29.32,73.9,72.41,4.12
Surgut,40,RU,1537650000,100,61.25,73.4,46.4,2.0
Susehri,0,TR,1537653298,86,40.16,38.09,42.08,0.87
Tabas,0,IR,1537653304,46,33.6,56.92,58.28,1.12
Talnakh,92,RU,1537653305,93,69.49,88.39,43.16,4.67
Taltal,0,CL,1537653306,72,-25.41,-70.49,65.48,1.67
Tanabi,20,BR,1537650000,29,-20.63,-49.65,89.6,3.6
Tanout,44,NE,1537653309,18,14.97,8.88,95.18,4.87
Taoudenni,8,ML,1537653311,17,22.68,-3.98,87.62,3.82
Tarakan,32,ID,1537653304,100,3.3,117.63,77.63,1.62
Tarata,64,PE,1537653313,43,-17.47,-70.03,55.94,0.82
Tarko-Sale,0,RU,1537653214,90,64.92,77.78,41.45,3.37
Tasiilaq,64,GL,1537649400,69,65.61,-37.64,35.6,2.1
Tastur,20,TN,1537650000,69,36.55,9.44,77.0,3.97
Tateyama,40,JP,1537650600,93,36.66,137.31,62.6,0.5
Taunggyi,56,MM,1537653319,96,20.78,97.03,65.93,0.72
Tawang,0,BT,1537653320,77,27.59,91.87,47.21,0.62
Te Anau,56,NZ,1537653321,87,-45.41,167.72,46.85,4.72
Tera,0,CY,1537651800,73,34.97,32.42,77.0,3.1
Thompson,20,CA,1537650000,47,55.74,-97.86,37.4,3.6
Thunder Bay,90,CA,1537650000,39,48.41,-89.26,62.6,5.1
Thyolo,0,MW,1537653327,57,-16.07,35.15,68.36,2.02
Tiksi,20,RU,1537653328,100,71.64,128.87,28.13,3.07
Tilichiki,24,RU,1537653329,100,60.47,166.1,43.79,1.57
Tiznit,0,MA,1537653331,84,29.7,-9.73,73.03999999999999,3.12
Togur,8,RU,1537653332,80,58.36,82.83,46.94,3.77
Tondano,20,ID,1537651800,94,1.3,124.91,73.4,0.62
Torbay,90,CA,1537650000,100,47.66,-52.73,55.400000000000006,11.8
Tornio,0,FI,1537651200,87,61.12,27.27,48.2,2.6
Toropets,92,RU,1537653338,98,56.5,31.64,51.8,5.57
Torrington,1,US,1537649580,3,42.06,-104.18,89.96000000000001,4.6
Touros,8,BR,1537653340,77,-5.2,-35.46,78.71000000000001,6.57
Tskaltubo,75,GE,1537650000,88,42.33,42.6,66.2,2.6
Tual,68,ID,1537653344,100,-5.67,132.75,79.61,7.47
Tuatapere,20,NZ,1537653346,90,-46.13,167.69,52.16,7.92
Tucuman,36,PE,1537653349,57,-17.17,-70.89,65.48,1.67
Tuktoyaktuk,75,CA,1537650000,80,69.44,-133.03,33.8,4.6
Tuntum,12,BR,1537653353,31,-5.26,-44.64,93.2,1.77
Tura,32,IN,1537653354,93,25.52,90.21,74.48,1.07
Udachnyy,0,RU,1537653355,90,66.42,112.4,33.26,1.07
Ugoofaaru,76,MV,1537653357,100,5.67,73.0,80.96000000000001,6.02
Ukiah,1,US,1537649760,13,39.15,-123.21,89.96000000000001,4.6
Upernavik,0,GL,1537653359,100,72.79,-56.15,30.56,2.72
Upington,12,ZA,1537650000,16,-28.46,21.24,64.4,1.0
Urusha,0,RU,1537653361,56,54.05,122.9,40.64,2.87
Ushuaia,90,AR,1537650000,74,-54.81,-68.31,35.6,6.2
Ust-Ilimsk,0,RU,1537653365,84,57.96,102.73,34.16,1.67
Uyuni,12,BO,1537653367,23,-20.46,-66.82,58.64,3.57
Vaini,92,IN,1537653368,98,15.34,74.49,69.53,1.22
Valparaiso,5,US,1537652700,59,41.47,-87.06,63.14,4.6
Vanino,0,RU,1537653373,56,53.93,40.55,64.75999999999999,6.07
Vao,56,EE,1537653374,69,59.1,26.19,53.51,5.57
Vardo,5,US,1537652820,68,39.62,-77.74,69.98,4.1
Veraval,90,FR,1537651800,100,49.65,0.71,64.4,6.7
Vestmanna,92,FO,1537651200,75,62.16,-7.17,42.8,6.2
Victoria,75,BN,1537651800,100,5.28,115.24,75.2,1.32
Vila,0,IT,1537651200,77,45.18,8.4,71.6,1.0
Vila Franca do Campo,20,PT,1537651800,83,37.72,-25.43,73.4,2.1
Vila Velha,0,BR,1537653600,78,-3.71,-38.6,80.6,4.6
Virginia Beach,75,US,1537650900,69,36.85,-75.98,82.94,3.1
Vostok,76,RU,1537653387,100,46.45,135.83,48.56,0.97
Waipawa,0,NZ,1537653388,81,-39.94,176.59,51.08,1.42
Wakkanai,100,JP,1537653389,100,45.41,141.67,59.36,8.12
Westport,88,IE,1537653394,88,53.8,-9.52,47.66,3.67
Xinyang,24,CN,1537653395,82,32.13,114.07,56.39,1.27
Yamada,40,JP,1537650600,93,36.58,137.08,64.4,0.5
Yar-Sale,44,RU,1537653400,100,66.83,70.83,43.16,3.22
Yarmouth,90,GB,1537651200,93,50.71,-1.5,53.6,4.6
Yellowknife,20,CA,1537650000,52,62.45,-114.38,44.6,8.7
Yelyzavethradka,48,UA,1537653405,47,48.8,32.4,63.769999999999996,5.37
Yeppoon,0,AU,1537651800,72,-23.13,150.74,66.2,3.1
Yerbogachen,0,RU,1537653407,89,61.28,108.01,33.98,1.27
Yilan,75,TW,1537650000,83,24.75,121.75,82.4,3.6
Yulara,0,AU,1537650000,40,-25.24,130.99,53.6,3.1
Yumen,0,CN,1537653413,60,40.29,97.04,40.55,3.67
Yuncheng,64,CN,1537653413,84,35.03,111.0,51.8,0.97
Zhangye,0,CN,1537653417,66,38.94,100.46,37.85,2.67
Zhob,80,PK,1537653417,100,31.34,69.45,55.76,0.72
Znamenskoye,56,RU,1537653418,97,57.13,73.82,48.379999999999995,2.57
